Attendance_%,QuizScore_%,StudyHours_PerDay,PerformanceScore
43,63,3,53.34
62,56,4,64.84
50,69,7,75.58
48,71,7,77.84
84,44,2,56.23
87,100,8,106.88
81,72,5,83.02
47,63,2,51.81
70,100,7,93.81
53,70,7,77.78
95,80,4,88.98
53,100,1,64.3
51,47,5,57.94
70,47,2,53.71
68,80,7,86.67
76,61,5,75.71
47,58,8,72.1
55,37,6,58.69
95,84,3,85.84
74,94,3,77.77
82,62,8,91.51
65,73,1,57.62
48,52,8,74.15
40,91,1,58.19
77,90,3,80.64
45,58,1,43.76
51,37,4,52.79
91,53,4,74.72
89,36,4,68.13
71,88,8,95.56
80,95,1,71.04
52,67,3,60.22
62,46,3,57.54
53,52,1,47.99
93,82,1,75.87
68,78,3,72.5
90,68,3,74.81
89,52,8,89.48
74,83,8,92.69
68,38,6,66.85
50,48,4,58.18
52,78,4,68.94
82,93,5,92.13
41,67,3,54.54
75,85,2,73.3
62,65,7,77.01
43,100,6,79.23
81,67,7,86.73
96,54,4,75.79
90,100,3,87.56
72,39,7,73.06
51,66,4,64.17
61,71,2,59.52
48,36,5,50.61
87,57,1,60.7
70,43,5,64.83
46,87,5,70.26
60,56,7,76.22
79,58,1,56.42
80,45,6,72.9
97,99,5,98.71
58,38,4,52.57
51,38,7,65.93
73,52,5,70.67
89,79,5,86.25
81,59,3,70.42
41,91,4,67.37
74,42,6,71.44
71,40,5,62.43
95,100,7,105.78
75,51,3,60.21
98,56,6,88.03
65,44,8,78.57
90,77,6,90.03
68,88,2,70.53
84,49,8,83.55
58,87,4,75.93
54,63,8,76.81
46,79,3,62.41
57,47,8,75.23
53,100,7,86.66
69,86,7,87.06
76,99,1,72.17
87,92,1,77.57
85,94,4,86.45
86,40,4,68.16
84,61,6,80.29
51,61,4,58.87
47,55,5,62.11
61,55,4,60.15
49,85,8,88.1
50,67,6,68.41
79,39,2,56.94
96,90,4,90.67
55,36,5,58.9
77,80,5,83.25
71,44,8,80.78
83,49,4,69.99
86,100,1,77.63
87,42,4,66.38
54,61,6,67.29
84,94,1,74.2
90,80,6,93.65
93,51,3,72.52
88,96,6,98.87
49,38,5,56.34
93,50,5,75.37
62,62,3,60.17
53,65,5,69.03
69,58,4,64.79
78,82,1,70.06
88,38,1,52.76
64,97,1,68.53
81,66,3,72.1
99,41,7,84.16
57,100,2,69.58
81,82,4,82.15
86,91,8,104.46
50,74,2,55.61
46,42,8,69.57
46,55,5,62.64
41,47,5,54.69
40,69,7,69.04
55,89,4,72.89
100,66,7,92.75
76,63,1,57.49
45,59,7,67.97
99,93,8,111.45
41,36,6,52.74
55,100,5,84.02
84,35,2,55.55
99,84,4,89.51
58,64,7,74.89
51,63,5,67.6
55,60,6,67.03
78,84,6,87.01
79,77,1,66.87
56,44,2,47.51
70,85,8,96.97
86,71,3,73.6
48,61,5,62.96
70,99,5,88.25
44,85,1,55.47
51,59,4,62.02
60,100,6,89.05
74,53,8,79.82
98,58,2,68.54
77,53,4,66.03
58,96,8,91.59
65,79,7,84.76
98,78,6,92.51
74,59,8,88.13
71,43,1,47.31
75,40,4,64.42
72,54,6,73.1
76,46,6,74.93
49,68,1,52.21
76,42,3,61.65
43,85,5,70.24
41,69,1,48.9
86,39,3,63.92
96,45,4,74.81
91,99,2,84.5
45,61,7,72.24
92,97,7,102.46
66,50,7,73.04
81,51,8,83.68
42,97,1,61.28
44,49,7,66.08
60,83,5,79.13
64,43,7,73.09
64,76,4,74.85
64,37,1,42.87
90,36,3,63.53
50,96,3,71.71
64,99,6,89.55
55,76,3,63.49
63,57,6,69.48
73,46,4,60.91
87,55,7,82.85
59,40,3,50.22
64,77,2,63.71
92,61,2,71.49
60,56,7,76.66
99,65,1,68.05
93,50,2,67.11
54,39,8,71.68
44,80,2,56.04
75,68,4,72.45
73,92,8,96.19
81,58,8,87.46
61,99,4,77.82
77,39,7,73.98
48,54,3,54.35
43,87,3,61.67
44,75,3,57.08
80,48,3,64.32
52,74,1,51.91
98,54,8,89.91
55,78,5,71.94
61,65,3,62.51
46,96,2,64.68
67,64,8,84.82
76,73,1,61.66
49,44,3,49.33
68,79,8,92.35
53,62,4,62.8
41,64,2,51.65
77,94,3,80.69
73,67,5,78.45
51,98,1,64.92
48,75,4,63.25
69,38,7,73.4
95,39,8,83.72
63,38,4,53.68
51,41,5,56.07
74,72,6,84.33
91,100,6,101.08
46,65,8,75.68
56,76,3,64.82
40,89,6,76.89
100,37,4,72.96
66,71,2,65.19
49,83,2,59.63
91,93,8,104.2
69,72,8,88.03
57,69,4,69.08
62,40,2,51.78
81,98,5,92.15
68,44,6,66.66
65,59,7,77.02
90,64,6,87.78
74,98,4,85.11
75,51,3,61.08
59,79,6,76.55
45,88,5,71.22
72,50,2,56.51
72,60,3,61.9
63,64,8,84.53
69,83,4,76.95
53,52,7,68.54
50,94,6,84.4
95,79,5,90.33
68,95,6,92.13
70,80,2,65.57
43,56,5,61.53
85,75,4,82.05
85,59,5,76.84
86,71,8,97.15
88,76,4,80.65
57,54,5,62.71
90,66,5,79.72
98,55,7,92.08
75,36,1,47.09
84,65,7,89.42
93,38,6,74.02
51,58,3,56.69
46,99,4,72.86
68,43,3,58.81
80,44,2,56.67
46,89,7,81.67
48,60,4,62.17
64,82,2,66.87
75,86,5,85.59
68,51,4,62.07
65,93,8,92.97
74,83,8,92.38
77,93,8,102.19
82,80,1,68.54
54,80,6,77.33
64,100,7,93.9
71,94,1,72.64
95,81,4,85.6
50,38,1,37.31
76,94,5,85.81
42,52,7,62.6
60,50,3,58.7
80,85,1,72.84
84,100,5,92.29
99,43,6,82.87
56,57,3,58.96
80,83,6,87.81
41,92,6,77.55
75,71,5,76.21
55,77,4,69.57
64,42,1,46.35
92,94,2,84.35
96,85,2,83.28
41,41,5,50.6
98,76,2,75.38
74,47,1,51.73
79,92,5,86.54
78,78,5,83.35
52,36,2,44.07
49,66,7,74.74
57,81,7,82.78
85,51,3,64.95
73,88,1,66.06
83,62,3,69.65
55,43,4,58.01
51,41,6,61.75
51,50,3,54.35
49,81,4,65.32
70,78,1,60.63
62,98,3,76.45
65,43,6,67.48
93,40,1,59.56
68,67,6,75.68
50,91,1,59.62
68,84,1,66.42
46,86,8,87.25
94,41,6,75.47
62,95,2,68.95
100,97,1,84.78
51,58,1,46.57
64,43,8,73.81
94,73,6,93.29
61,99,2,70.15
68,62,8,86.62
80,56,7,80.35
74,52,3,60.82
96,68,4,82.15
56,37,2,44.44
53,53,7,68.24
59,97,8,92.02
61,60,4,63.15
58,56,4,59.47
85,53,7,85.92
51,57,2,48.5
81,46,8,81.57
52,75,1,56.13
64,98,7,93.62
83,96,2,77.56
48,49,6,64.36
89,47,3,67.82
55,68,4,62.3
61,37,6,65.55
44,62,7,69.35
99,49,6,84.09
75,59,5,71.76
66,65,5,69.54
57,38,1,39.15
91,84,4,87.92
48,40,4,52.46
61,97,5,83.14
43,90,4,67.97
86,57,2,67.34
74,36,4,59.59
85,62,4,76.79
45,85,5,72.57
62,44,8,74.95
51,45,5,56.89
46,59,3,55.39
70,58,5,73.69
80,68,8,92.33
69,59,6,77.14
55,51,2,48.15
74,69,2,67.34
91,73,6,91.59
50,67,1,50.64
94,58,8,90.13
42,87,5,72.49
94,67,5,84.58
40,70,8,77.02
56,37,7,63.0
45,86,6,77.31
86,64,5,77.44
45,43,7,62.61
88,87,3,82.1
89,56,6,83.07
98,81,7,100.22
68,62,8,85.13
47,48,1,44.54
79,98,4,88.3
71,93,3,79.98
67,68,6,75.17
86,79,3,80.28
72,38,5,66.27
49,35,2,41.09
47,54,8,72.39
83,41,7,75.55
98,96,5,98.0
82,87,4,85.94
100,86,3,85.53
59,89,8,91.15
74,100,4,87.93
68,93,8,94.33
87,94,1,77.2
71,94,6,88.86
100,79,1,77.66
71,65,1,59.75
52,85,6,78.84
90,91,5,91.16
70,38,8,74.91
62,93,8,94.45
43,73,2,56.33
46,98,3,70.12
64,94,4,77.63
52,41,6,62.94
43,51,7,63.19
62,82,2,66.54
74,42,5,66.04
69,93,4,81.33
44,77,5,65.75
98,35,5,76.08
69,43,2,50.4
49,55,4,55.86
62,73,6,77.6
48,69,6,71.05
57,99,3,72.96
44,100,8,91.71
86,36,7,76.99
65,38,8,75.35
75,96,2,73.99
91,97,4,89.5
100,63,2,72.19
63,97,1,70.85
43,62,1,47.41
81,79,6,87.59
99,35,2,59.24
91,74,3,77.71
69,86,5,81.66
87,91,4,88.0
82,63,2,64.1
81,69,1,65.02
45,38,4,52.14
41,63,4,58.79
86,86,1,70.33
41,87,8,81.43
86,47,1,56.28
63,81,7,82.76
93,70,6,89.09
95,77,5,91.37
74,100,6,95.85
67,98,2,74.24
57,74,7,77.82
72,62,1,58.4
53,94,1,64.71
75,97,4,84.42
56,62,6,73.45
92,39,5,73.24
74,98,1,75.24
92,35,6,75.76
97,80,4,85.36
48,92,5,75.67
64,41,3,55.97
87,55,1,60.1
78,94,4,85.39
54,84,7,82.69
94,100,1,83.17
85,66,6,83.63
56,86,8,87.77
64,55,2,55.09
66,58,4,67.93
50,62,6,71.22
57,67,6,72.08
93,97,7,103.45
84,82,7,93.14
50,91,2,65.05
72,43,6,72.18
54,40,6,62.29
78,88,3,80.14
63,35,8,71.16
65,88,7,86.25
61,73,5,73.55
74,44,5,68.62
85,61,6,81.49
49,87,7,81.55
93,90,2,81.75
49,87,7,80.2
65,82,5,80.38
94,45,2,61.99
89,41,1,54.59
84,64,7,86.93
59,91,4,76.47
56,63,3,59.89
97,86,7,101.66
89,85,6,91.3
75,85,4,77.94
65,54,4,62.82
88,42,3,64.34
88,66,2,67.1
63,54,3,57.87
84,56,3,68.74
87,74,1,70.41
52,39,2,45.34
93,80,5,90.15
62,64,1,54.4
75,61,4,68.67
57,43,3,54.41
60,60,1,53.21
57,57,7,73.17
84,93,5,93.42
85,100,2,81.44
84,87,4,84.07
51,39,7,65.52
74,46,8,81.47
97,50,4,72.15
52,65,4,62.82
97,97,5,95.31
47,47,8,70.03
62,80,4,71.4
84,54,2,63.3
53,90,6,83.32
91,92,2,78.77
43,89,7,80.94
88,96,1,79.27
54,54,1,48.74
68,50,8,80.78
62,91,2,68.17
70,81,6,86.74
97,73,5,88.09
76,48,6,75.83
67,57,8,82.93
61,51,3,57.85
63,84,1,65.68
72,58,1,57.53
79,65,2,68.51
65,44,4,59.6
64,87,2,68.58
49,94,8,89.44
87,73,5,82.65
73,82,2,70.58
79,49,2,59.01
45,47,4,55.14
64,89,2,67.85
52,59,3,55.6
92,88,5,91.2
87,71,7,91.68
46,39,2,42.44
52,95,4,76.74
76,53,5,73.73
94,53,6,84.95
93,47,3,70.0
83,99,6,94.53
87,39,5,72.4
96,98,5,98.5
67,54,2,57.84
57,50,2,48.12
95,91,5,95.61
58,79,7,80.56
90,35,1,55.03
96,77,5,86.77
44,64,4,58.03
94,89,2,78.82
89,61,6,82.77
86,74,2,73.24
63,61,5,69.29
85,52,6,80.36
84,58,5,77.28
52,55,7,71.18
52,36,7,63.13
81,74,2,68.97
86,57,2,65.85
64,44,1,48.25
96,44,5,76.29
40,45,3,44.95
93,97,1,82.92
48,79,5,70.16
78,47,2,56.25
92,72,2,72.84
87,38,4,67.98
49,44,6,58.24
97,100,7,106.22
59,63,6,72.14
42,97,3,69.24
60,63,1,52.37
65,98,6,88.75
58,56,7,71.03
40,91,7,80.24
47,87,3,63.2
60,94,2,70.14
97,78,1,75.98
41,92,5,73.73
97,99,4,92.83
62,64,3,63.12
99,74,5,90.67
97,58,1,65.79
61,67,3,60.4
90,54,2,66.76
77,47,6,70.89
50,100,7,88.56
86,47,6,76.27
76,69,6,81.52
99,52,7,88.82
73,46,7,74.42
77,86,6,87.97
44,69,6,70.04
67,92,8,94.01
69,95,3,75.78
48,59,8,73.76
42,75,7,73.03
50,56,3,56.59
64,54,4,64.12
65,77,7,86.87
74,53,6,75.57
92,42,6,77.11
43,51,8,70.93
65,46,3,55.39
55,54,5,64.11
85,92,3,81.04
53,90,1,59.86
65,35,2,47.1
89,42,3,65.96
86,68,8,95.74
50,89,3,68.83
45,60,5,61.18
49,67,8,80.7
44,46,1,38.62
60,64,2,59.55
54,86,4,74.52
50,36,8,63.43
90,78,6,91.78
48,61,1,48.57
56,71,7,76.46
65,46,6,67.19
97,64,7,90.92
52,71,4,66.27
89,63,5,79.5
56,65,7,75.54
92,78,1,71.96
43,60,5,62.69
64,43,7,72.45
40,80,4,63.25
48,81,4,64.72
43,98,4,69.97
66,84,8,92.34
41,75,6,67.53
87,89,7,98.53
43,93,4,70.29
88,38,2,59.3
94,35,5,73.37
72,48,8,81.73
86,61,5,76.05
67,69,4,68.9
82,84,6,89.8
65,36,6,63.23
66,79,2,68.77
83,76,7,88.88
57,51,4,58.36
77,61,2,62.22
97,92,4,94.36
68,48,7,74.18
60,76,4,68.98
95,56,6,86.44
92,77,7,96.89
58,41,1,46.1
59,78,8,84.53
76,49,7,79.32
40,46,8,63.77
43,50,5,56.39
73,37,4,61.36
70,62,2,61.84
98,88,8,104.49
73,68,8,86.95
58,67,1,54.27
41,68,2,50.49
68,43,6,67.04
88,61,6,82.98
78,43,6,74.36
49,60,6,65.73
70,99,2,73.48
93,78,4,85.11
57,58,5,67.48
69,76,3,69.07
84,98,2,78.6
54,79,5,71.1
98,74,5,90.37
97,75,8,98.5
45,35,2,38.7
57,75,5,69.97
48,94,4,71.5
52,47,2,46.66
50,58,2,51.33
83,92,5,87.95
88,60,5,80.77
84,84,4,83.1
87,62,1,62.11
81,66,7,89.68
63,90,4,78.61
77,90,2,76.06
65,78,4,76.05
44,45,3,44.95
46,54,6,61.03
86,78,2,71.47
68,72,1,61.21
83,75,1,69.16
75,93,2,73.55
43,75,3,59.23
42,42,1,39.9
72,96,1,73.03
57,67,7,77.67
68,44,2,55.73
71,96,6,90.49
56,77,7,81.09
49,97,4,72.75
91,35,2,55.62
45,100,8,87.1
93,78,1,70.37
50,40,7,62.68
72,64,3,67.55
92,89,5,93.36
100,61,1,71.28
89,51,3,69.27
58,73,8,82.25
53,91,1,60.79
95,88,5,91.65
67,66,6,78.29
46,75,1,49.85
43,51,1,42.85
42,82,6,70.78
87,74,1,66.09
40,53,4,55.52
87,67,1,66.42
72,57,5,71.66
98,41,3,68.19
88,69,8,97.22
94,57,3,74.08
70,83,5,79.55
49,48,5,58.76
48,98,8,87.84
42,47,6,57.36
97,93,4,90.18
51,69,3,60.0
90,47,3,64.81
90,42,2,59.87
100,94,5,98.1
81,52,5,73.49
70,60,4,68.36
44,52,6,63.73
43,83,5,67.88
93,48,2,63.73
86,82,4,82.73
92,38,8,81.18
95,62,2,70.02
64,48,6,69.17
83,88,1,72.71
81,44,8,82.7
40,93,5,72.69
86,67,5,84.03
77,47,3,63.01
54,61,5,68.51
70,50,4,66.69
54,45,7,66.49
42,66,6,69.33
91,58,3,72.64
54,86,2,62.66
98,81,6,96.91
53,47,2,45.18
60,77,3,64.52
97,70,1,71.9
63,50,2,54.33
82,38,3,57.32
98,100,5,98.01
97,39,7,84.15
58,76,3,66.61
96,39,3,64.41
62,93,1,64.57
82,40,7,78.03
73,44,6,68.78
84,92,2,76.23
58,86,5,75.04
47,88,8,83.95
82,88,7,95.62
98,60,7,93.07
88,45,8,86.83
49,98,1,64.77
43,95,1,56.66
97,83,5,91.09
95,75,4,86.26
99,60,6,86.22
81,54,7,81.27
62,81,3,71.47
73,39,1,46.99
95,79,7,100.29
42,86,1,53.8
68,76,5,76.14
43,100,7,85.28
100,69,3,80.44
81,40,2,57.55
75,95,7,98.99
64,75,6,81.51
82,53,8,88.86
80,57,4,70.63
76,91,1,70.72
82,100,3,85.72
69,78,4,77.65
79,43,2,53.97
40,39,4,45.31
50,93,2,63.15
69,51,1,49.44
97,35,7,78.78
55,35,1,38.33
54,40,4,55.87
98,78,1,74.69
65,68,3,67.61
67,94,6,87.04
59,41,1,43.15
49,47,2,45.9
80,100,1,73.44
60,89,7,85.94
96,65,8,97.75
84,70,3,75.67
45,56,4,55.33
82,83,7,92.46
77,78,6,83.11
81,42,7,77.68
66,71,2,60.81
55,98,7,87.54
48,82,6,75.91
87,57,2,66.42
98,58,2,70.11
95,44,5,73.52
63,39,2,46.39
56,44,2,50.02
57,77,6,76.73
61,36,1,45.03
88,65,7,89.7
40,71,3,55.89
41,68,1,48.81
68,100,2,72.82
48,81,6,77.08
53,75,1,54.68
88,91,6,97.52
49,80,8,85.42
75,59,6,78.49
80,66,4,72.58
66,96,3,75.31
72,50,8,78.4
77,48,4,66.07
45,52,3,49.97
69,95,6,88.08
91,58,6,82.19
50,97,3,69.36
89,84,7,95.67
59,85,1,64.07
54,64,3,58.71
55,66,2,56.58
78,64,6,83.42
76,63,2,64.48
54,42,3,51.29
83,75,2,69.08
78,80,2,71.31
69,39,7,74.17
42,100,4,74.96
94,61,8,96.11
59,65,3,62.17
82,67,4,78.14
49,57,6,68.72
43,65,3,56.91
63,72,1,55.13
51,67,2,54.99
68,91,8,95.66
76,37,8,74.5
49,89,1,61.9
70,93,6,88.12
82,62,1,63.22
87,73,8,96.87
50,52,2,47.51
99,61,8,95.55
73,35,1,49.21
43,79,1,51.13
67,87,1,66.54
43,45,2,40.49
90,58,7,88.39
81,97,8,104.73
48,44,2,45.42
64,98,3,76.49
90,52,1,60.45
66,46,8,77.58
82,97,5,89.75
48,89,6,76.51
93,51,7,83.9
45,45,6,60.14
92,100,6,101.18
47,48,1,40.52
76,40,5,63.65
42,100,3,68.83
83,51,8,88.04
51,62,1,49.21
91,42,7,83.23
48,87,2,60.54
41,89,5,74.01
98,35,7,82.51
72,85,2,71.0
54,43,5,59.38
92,45,5,72.52
52,74,6,76.1
46,60,7,70.65
59,87,6,83.35
61,76,5,73.71
49,54,1,43.74
59,87,7,84.66
66,69,8,83.66
46,63,5,63.7
58,63,8,82.34
81,54,4,70.28
85,61,1,63.9
66,45,5,66.14
94,84,6,93.98
44,86,3,63.41
45,65,8,75.79
58,79,1,61.8
98,53,8,91.83
70,77,3,68.15
54,38,6,62.86
62,59,2,57.98
79,100,2,81.79
53,37,1,39.71
72,79,6,85.41
98,81,8,104.99
58,99,2,71.09
72,87,8,94.13
77,43,4,66.28
100,91,6,98.57
71,83,3,71.58
57,62,7,74.94
80,39,5,70.19
71,50,4,66.32
42,63,5,64.38
41,66,5,60.06
67,68,2,60.78
71,83,5,84.3
62,78,4,70.79
85,86,6,95.33
90,89,8,102.79
95,84,8,101.9
98,74,7,98.77
45,100,8,89.71
41,37,1,32.29
51,68,8,81.81
43,56,2,47.0
69,50,5,69.47
90,48,2,62.19
77,58,2,62.42
45,53,4,52.87
98,62,7,89.95
78,61,2,65.25
68,49,5,68.93
82,65,7,87.72
79,45,8,82.35
62,61,5,67.0
94,82,8,104.97
88,51,8,86.8
86,68,6,88.24
49,80,8,84.36
100,82,4,91.11
42,97,5,78.0
74,64,7,80.29
76,75,2,69.85
63,42,5,62.48
48,75,7,77.04
81,65,8,90.63
93,71,5,87.43
60,43,2,51.46
89,54,3,71.82
79,79,8,97.35
74,48,6,75.22
40,38,5,49.05
59,98,6,89.7
85,35,8,82.36
73,81,3,73.34
100,80,1,77.6
58,54,5,67.61
84,44,6,73.83
53,73,3,62.74
78,47,2,57.91
68,43,7,71.42
65,37,4,56.99
96,90,2,79.67
92,74,4,85.36
86,88,2,75.42
63,53,7,74.33
91,86,8,100.83
65,91,3,75.23
56,56,6,66.24
81,84,5,83.6
56,98,7,87.82
96,89,7,100.06
89,52,3,66.75
44,47,1,40.24
78,95,4,86.27
48,72,7,74.18
71,96,4,80.37
81,93,7,98.11
80,94,3,81.55
46,85,5,69.86
48,95,6,83.59
68,50,5,66.79
83,81,5,84.46
45,43,1,41.9
83,64,7,87.78
61,89,4,77.78
93,52,5,79.1
48,91,3,68.75
82,74,3,76.83
88,66,7,90.87
63,36,1,40.83
50,40,3,48.57
87,56,5,79.14
73,59,5,75.02
55,53,1,48.32
40,41,2,37.41
92,95,3,84.51
41,93,2,62.21
61,92,3,74.41
96,100,3,91.56
48,48,6,64.77
43,49,3,46.93
43,60,6,63.88
84,85,7,94.54
98,86,5,95.5
70,37,6,68.3
61,53,1,47.02
86,43,6,73.91
75,64,1,61.56
67,62,8,85.9
47,51,3,51.39
64,94,8,95.94
84,35,6,71.58
66,35,7,70.76
50,52,8,72.6
79,89,1,70.86
60,95,4,78.84
62,41,3,53.52
56,37,2,44.68
55,49,3,50.79
90,39,5,73.37
40,35,1,35.51
48,88,5,75.99
94,66,7,90.72
58,74,7,79.13
70,47,6,68.31
46,67,6,68.3
55,90,5,80.57
83,100,5,92.08
97,42,1,61.47
79,51,7,82.63
99,45,8,90.8
88,48,8,86.38
68,64,1,58.38
82,97,2,79.04
73,63,2,60.66
48,42,4,55.0
90,73,7,95.27
93,44,6,78.17
47,76,2,59.01
99,59,6,84.4
82,55,3,66.98
43,90,3,62.41
97,86,3,87.26
64,63,7,79.23
59,72,7,79.01
52,86,6,79.3
41,90,7,82.91
56,92,2,68.66
42,94,1,56.22
75,73,7,88.2
53,55,2,48.73
100,77,2,77.74
78,64,1,61.04
53,61,6,69.59
79,39,6,68.57
74,74,5,78.22
68,80,5,80.86
94,58,7,86.74
59,50,5,63.05
50,39,8,67.49
97,70,3,76.31
45,59,6,67.88
68,68,4,70.93
47,47,2,47.05
68,96,3,75.89
85,83,2,75.19
56,69,1,54.61
63,64,6,76.89
46,100,5,79.6
47,46,8,71.4
83,95,6,94.35
83,93,6,96.06
60,88,2,70.03
45,86,5,74.66
78,72,4,76.23
55,48,4,58.75
92,83,7,98.83
60,55,8,78.49
42,69,1,48.7
86,74,2,70.19
59,35,8,67.01
92,90,7,101.68
59,49,5,62.8
50,49,5,59.08
60,42,6,67.38
85,47,7,83.71
41,78,4,63.36
54,50,2,50.95
85,83,7,93.97
91,97,6,96.43
82,82,7,95.88
70,53,5,68.3
92,74,4,83.55
68,99,1,67.92
44,63,2,51.3
40,86,4,68.15
80,100,3,82.65
95,85,2,77.07
88,71,8,98.08
93,59,3,72.05
91,42,3,67.4
57,42,1,42.97
70,67,6,76.96
65,51,5,69.24
67,78,3,71.55
44,54,7,69.7
40,94,3,63.22
53,85,3,69.77
100,86,2,84.53
78,44,2,54.57
60,82,1,59.67
46,41,4,49.45
97,90,1,81.64
57,47,4,54.86
82,87,1,71.94
84,97,6,93.51
87,91,4,86.52
74,95,3,80.69
82,47,8,84.76
44,100,6,82.02
40,54,5,59.45
66,39,8,76.32
77,50,4,64.08
97,73,6,89.84
46,96,1,58.03
49,62,7,70.06
63,81,6,80.36
79,89,7,96.01
73,97,3,79.17
72,42,8,78.51
100,87,1,76.26
71,95,5,87.36
90,93,7,103.75
65,96,6,90.23
67,40,7,69.7
50,62,2,50.69
57,69,8,79.59
89,71,2,72.93
63,73,7,83.5
83,94,5,93.38
50,55,6,66.41
53,99,5,83.08
68,62,3,64.76
62,63,5,68.21
54,69,5,70.29
88,95,3,84.18
51,74,1,53.41
97,57,3,74.78
96,80,6,95.32
40,65,1,43.9
56,53,7,71.68
82,81,3,75.78
93,35,5,68.72
99,43,5,77.12
67,63,8,84.69
43,56,8,74.0
88,98,4,93.21
92,91,6,98.87
97,85,1,79.32
59,53,2,55.44
96,62,8,95.26
47,69,4,64.29
85,53,6,77.2
90,75,1,72.2
60,60,4,66.93
78,45,8,82.46
90,56,6,83.34
97,45,4,72.49
91,59,1,64.55
96,41,2,63.45
54,88,5,76.24
40,70,1,48.51
48,44,2,43.93
54,74,6,76.7
73,82,5,84.63
48,50,5,58.03
61,57,3,56.86
92,72,5,87.0
87,40,5,72.41
88,84,5,88.62
55,79,2,64.32
80,69,6,82.85
72,46,7,75.08
88,66,4,76.17
72,37,2,50.32
86,71,2,69.03
74,53,8,80.45
44,60,8,71.29
56,51,8,77.07
48,59,3,55.6
63,45,7,70.74
94,91,4,87.46
73,64,7,84.58
83,46,8,82.59
66,90,4,78.33
82,51,8,85.82
43,78,2,58.54
61,92,1,64.41
91,52,5,77.04
49,35,6,55.18
41,71,7,72.45
67,87,7,88.81
76,54,5,69.35
88,85,6,90.37
80,95,2,80.03
52,98,7,85.24
86,78,1,66.73
88,63,1,67.03
91,62,7,88.31
48,86,5,74.17
61,93,7,90.15
57,63,1,49.67
40,53,7,64.52
40,46,7,64.64
95,83,6,94.18
92,91,1,76.52
91,100,6,98.66
77,50,7,80.75
60,39,2,45.74
80,44,6,76.02
64,86,6,82.24
96,71,4,81.11
76,87,8,99.96
48,96,2,64.94
41,84,5,68.62
92,70,2,74.11
98,58,7,90.94
42,64,1,47.49
72,49,4,64.06
80,89,1,74.06
53,58,8,76.41
50,99,6,81.35
56,55,4,62.08
52,71,1,55.69
62,62,3,60.84
68,78,3,70.43
55,86,4,72.84
98,100,5,96.88
70,52,6,72.73
65,73,2,66.03
94,82,3,79.81
62,82,3,70.47
79,78,4,77.61
96,49,7,87.02
85,95,7,97.85
69,72,5,78.2
88,44,2,57.98
70,82,4,74.45
42,47,1,40.71
93,84,4,87.53
99,99,7,108.27
43,44,8,66.85
66,87,4,77.28
100,89,2,82.47
97,66,1,69.01
75,65,1,63.0
60,63,4,62.68
93,85,2,78.3
99,58,7,89.49
94,38,1,59.0
55,37,8,71.17
62,51,3,55.11
67,68,7,79.25
86,83,1,68.88
87,42,7,80.73
40,67,2,48.89
76,40,5,66.48
80,74,7,89.36
87,77,1,69.22
55,76,3,64.13
100,42,5,77.12
83,50,8,87.47
84,98,4,88.68
42,99,2,61.57
70,63,7,83.68
62,82,5,76.5
49,47,7,64.22
58,74,4,67.02
46,94,2,65.22
88,92,2,79.53
79,78,6,84.82
92,51,2,62.5
61,85,1,63.46
91,43,7,78.73
43,58,5,59.12
67,87,1,67.89
48,73,8,81.15
68,43,6,66.53
54,63,4,60.92
77,72,3,68.61
73,42,1,51.37
48,84,5,70.62
48,77,6,76.51
40,75,7,73.21
74,59,2,59.74
59,52,4,58.48
73,59,5,73.01
64,97,5,84.24
86,99,8,108.25
49,100,3,74.24
74,36,7,72.05
44,42,7,59.93
50,73,4,63.66
98,51,2,69.09
55,90,5,80.14
42,66,1,46.66
50,44,3,51.92
94,98,5,97.12
67,52,7,73.26
46,74,6,74.77
53,84,3,63.95
59,94,5,79.92
59,80,1,58.02
58,79,4,71.22
53,68,1,51.97
54,99,1,65.95
86,79,7,92.4
98,86,2,78.95
85,62,1,63.16
44,91,4,71.08
78,95,5,89.17
97,54,4,76.24
58,56,3,56.99
80,96,7,97.0
66,100,5,88.68
66,55,8,81.0
68,81,2,67.31
97,58,6,88.04
88,96,2,78.99
85,46,2,59.27
54,99,1,64.5
90,52,3,66.02
78,65,7,86.49
100,36,2,60.14
90,39,6,74.49
43,61,1,46.66
66,73,8,85.53
94,50,6,80.94
88,85,1,75.72
63,53,6,70.23
67,82,3,70.1
64,61,3,60.39
80,35,8,79.92
58,41,4,56.38
64,35,8,74.3
65,80,8,90.53
98,87,6,97.99
79,91,3,79.51
72,36,4,61.28
78,60,6,79.09
40,94,4,69.58
73,69,1,58.39
92,44,2,62.01
81,89,5,90.94
82,54,3,68.57
61,62,2,56.39
61,61,4,63.19
44,67,5,65.96
50,90,7,81.95
90,67,6,88.47
54,62,7,76.43
82,45,7,80.79
83,57,7,81.71
62,52,3,59.69
49,66,5,65.75
71,47,4,64.08
90,69,1,66.09
91,85,1,73.38
77,36,3,56.65
41,38,8,62.06
44,56,7,67.2
75,55,7,79.85
93,41,7,83.36
63,88,2,66.56
100,50,7,85.47
75,94,3,80.07
68,38,4,57.39
72,94,7,92.13
77,94,1,74.15
60,40,1,42.4
80,81,1,66.3
44,68,3,59.37
45,39,1,40.4
43,91,2,60.87
100,71,7,95.17
70,41,3,55.84
77,68,5,75.37
61,51,4,59.33
